Label,BX,BY,Width,Height
pablo_honey.jpg:0290-0078,38,190,80,201
pablo_honey.jpg:0200-0242,230,196,25,9
pablo_honey.jpg:0461-0056,21,444,70,35
pablo_honey.jpg:0434-0251,250,427,3,15
