Label,BX,BY,Width,Height
amsp.jpg:0019-0267,160,6,214,26
amsp.jpg:0486-0120,103,474,35,24
amsp.jpg:0606-0523,429,586,189,40
amsp.jpg:0221-0040,17,128,47,187
