Label,BX,BY,Width,Height
ok_computer.jpg:0247-0172,142,240,60,14
ok_computer.jpg:0462-0215,137,442,157,40
ok_computer.jpg:0244-0469,463,242,12,5
ok_computer.jpg:0436-0055,17,389,76,94
