Label,BX,BY,Width,Height
kid_a.jpg:0303-0087,70,271,34,65
kid_a.jpg:0066-0418,362,17,112,99
kid_a.jpg:0195-0247,238,178,19,35
kid_a.jpg:0394-0360,341,371,38,47
kid_a.jpg:0420-0020,11,401,19,38
