Label,BX,BY,Width,Height
httf.jpg:0106-0119,82,74,75,64
httf.jpg:0309-0493,490,306,7,6
httf.jpg:0389-0211,204,375,15,29
httf.jpg:0592-0218,205,588,26,9
httf.jpg:0211-0432,428,209,9,5
httf.jpg:0491-0549,547,486,4,11
httf.jpg:0205-0254,236,196,36,18
