Label,BX,BY,Width,Height
king_of_limbs.jpg:0062-0139,86,29,106,67
king_of_limbs.jpg:0045-0454,426,13,56,64
king_of_limbs.jpg:0072-0359,348,70,23,5
king_of_limbs.jpg:0270-0079,75,227,8,87
king_of_limbs.jpg:0422-0158,156,384,5,77
